StadiumID,Active,Name,City,State,Country,Capacity,Surface,LeftField,MidLeftField,LeftCenterField,MidLeftCenterField,CenterField,MidRightCenterField,RightCenterField,MidRightField,RightField,GeoLat,GeoLong,Altitude,HomePlateDirection,Type
48,True,Alamodome,,,,,,,,,,,,,,,,,,,
49,True,Ed Smith Stadium,,,,,,,,,,,,,,,,,,,
50,True,Fenway Park,Boston,MA,USA,37499.0,Grass,310.0,320.0,348.0,379.0,390.0,420.0,383.0,380.0,302.0,42.34625,-71.09775,16.0,135.0,Outdoor
51,True,Citizens Bank Park,Philadelphia,PA,USA,43651.0,Grass,329.0,349.0,374.0,386.0,401.0,384.0,369.0,351.0,330.0,39.905833,-75.166389,19.0,165.0,Outdoor
52,True,Regions Field,,,,,,,,,,,,,,,,,,,
53,True,Nationals Park,Washington,DC,USA,41341.0,Grass,336.0,351.0,377.0,390.0,403.0,390.0,370.0,351.0,335.0,38.872778,-77.0075,23.0,150.0,Outdoor
54,True,Chase Field,Phoenix,AZ,USA,48519.0,Grass,330.0,359.0,374.0,413.0,407.0,413.0,374.0,359.0,334.0,33.445278,-112.066944,1059.0,180.0,RetractableDome
55,True,Scottsdale Stadium,,,,,,,,,,,,,,,,,,,
56,True,Surprise Stadium,,,,,,,,,,,,,,,,,,,
57,True,Marlins Park,Miami,FL,USA,36742.0,Grass,344.0,360.0,386.0,395.0,422.0,405.0,392.0,360.0,335.0,25.778056,-80.219722,6.0,105.0,RetractableDome
58,True,Charlotte Sports Park,,,,,,,,,,,,,,,,,,,
59,True,Maryvale Baseball Park,,,,,,,,,,,,,,,,,,,
60,True,Space Coast Stadium,,,,,,,,,,,,,,,,,,,
61,True,Camelback Ranch,,,,,,,,,,,,,,,,,,,
62,True,Comerica Park,Detroit,MI,USA,41574.0,Grass,345.0,370.0,402.0,406.0,420.0,393.0,365.0,350.0,330.0,42.339167,-83.048611,602.0,30.0,Outdoor
63,True,Minute Maid Park,Houston,TX,USA,41574.0,Grass,315.0,347.0,362.0,410.0,435.0,393.0,373.0,347.0,326.0,29.756944,-95.355556,20.0,210.0,RetractableDome
64,True,Great American Ball Park,Cincinnati,OH,USA,42319.0,Grass,328.0,356.0,379.0,391.0,404.0,391.0,370.0,356.0,325.0,39.0975,-84.506667,489.0,45.0,Outdoor
65,True,T-Mobile Park,Seattle,WA,USA,47574.0,Grass,331.0,358.0,390.0,399.0,405.0,391.0,387.0,353.0,327.0,47.591358,-122.333,17.0,135.0,RetractableDome
66,True,George M. Steinbrenner Field,,,,,,,,,,,,,,,,,,,
67,True,Joker Marchant Stadium,,,,,,,,,,,,,,,,,,,
68,True,Truist Park,Atlanta,GA,USA,41149.0,Grass,335.0,375.0,385.0,402.0,400.0,402.0,375.0,350.0,325.0,33.890166,-84.468,1050.0,15.0,Outdoor
69,True,Tokyo Dome,Tokyo,,Japan,45600.0,FieldTurf,,,,,,,,,,35.705658,139.751914,,,Dome
70,True,"TD Ameritrade Park Omaha
",,,,,,,,,,,,,,,,,,,
71,True,BB&T Ballpark at Historic Bowman Field,,,,,,,,,,,,,,,,,,,
72,True,BayCare Ballpark,Clearwater,FL,USA,,,,,,,,,,,,0.0,0.0,,,
73,True,Quisqueya Stadium,Santo Domingo,,D.R.,,,,,,,,,,,,,,,,
74,True,JetBlue Park at Fenway South,Lee County,FL,,,,,,,,,,,,,,,,,
75,True,Sloan Park,Mesa,AZ,,,,,,,,,,,,,,,,,
76,True,The Ballpark of The Palm Beaches,West Palm Beach,FL,,,,,,,,,,,,,,,,,
77,True,Ballpark of Camelback Ranch,Phoenix,AZ,,,,,,,,,,,,,,,,,
78,True,CoolToday Park,Kissimmee,FL,,,,,,,,,,,,,,,,,
79,True,Field of Dreams,Dyersville,IA,,,,,,,,,,,,,,,,,
80,True,Dunedin Stadium,Dunedin,FL,,,,,,,,,,,,,,,,,
81,True,Las Vegas Ballpark,Las Vegas,NV,,,,,,,,,,,,,,,,,
82,True,Hiram Bithorn Stadium,San Juan,PR,,,,,,,,,,,,,,,,,
83,True,Hohokam Stadium,Mesa,AZ,,,,,,,,,,,,,,,,,
84,True,American Family Fields of Phoenix,Phoenix,AZ,,,,,,,,,,,,,,,,,
85,True,Publix Field at Joker Merchant Stadium,Lakeland,FL,,,,,,,,,,,,,,,,,
86,True,Clover Park,Port St. Lucie,FL,,,,,,,,,,,,,0.0,0.0,,,
87,True,LECOM Park,Bradenton,FL,,,,,,,,,,,,,,,,,
88,True,Globe Life Field,Arlington,TX,USA,40300.0,Grass,,,,,,,,,,32.747361,-97.084167,549.0,,RetractableDome
89,True,Sahlen Field,Buffalo,NY,USA,16600.0,Grass,325.0,360.0,365.0,380.0,404.0,380.0,367.0,355.0,325.0,42.881111,-78.874167,600.0,40.0,Outdoor
90,True,TD Ballpark,Dunedin,FL,USA,8500.0,Grass,328.0,,375.0,,400.0,,354.0,,327.0,28.003611,-82.786389,16.0,45.0,Outdoor
91,True,BayCare Ballpark,Clearwater,FL,,,,,,,,,,,,,,,,,
92,True,American Family Field,Milwaukee,WI,USA,41900.0,Grass,344.0,359.0,371.0,379.0,400.0,386.0,374.0,354.0,345.0,43.028333,-87.971111,602.0,45.0,RetractableDome
93,True,loanDepot Park,Miami,FL,USA,36742.0,Grass,344.0,360.0,386.0,395.0,422.0,405.0,392.0,360.0,335.0,25.778056,-80.219722,6.0,105.0,RetractableDome
